Delta_AF3,Delta_AF4,Delta_F3,Delta_F7,Delta_F8,Delta_FC5,Delta_O2,Delta_P8,Delta_T8,Alpha_AF3,Alpha_AF4,Alpha_F3,Alpha_F7,Alpha_F8,Alpha_FC5,Alpha_O2,Alpha_P8,Alpha_T8,Beta_AF3,Beta_AF4,Beta_F3,Beta_F7,Beta_F8,Beta_FC5,Beta_O2,Beta_P8,Beta_T8,Gamma_AF3,Gamma_AF4,Gamma_F3,Gamma_F7,Gamma_F8,Gamma_FC5,Gamma_O2,Gamma_P8,Gamma_T8,Suj,Tarea_R0_E1,Tarea_R0_E1
11.231243,11.470263,10.985247,11.455495,5.850846,11.451889,11.451889,11.291894,11.175865,12.152669,11.090349,11.827815,9.891805,12.157067,11.351533,12.176626,12.283078,12.471087,20.671404,22.82423,21.027095,21.084368,24.672754,21.205287,21.205287,23.364444,23.365183,15.275987,15.254031,15.189187,15.274746,15.059919,15.296927,15.296927,15.383083,15.305852,1,0,2
11.227108,11.545536,10.952416,11.422066,5.830519,11.415916,11.415916,12.489219,11.11377,12.201671,11.054447,11.872268,9.873959,12.210659,11.345331,12.203585,12.299503,12.43484,20.658182,22.769322,21.001873,21.047337,24.675789,21.161406,21.161406,23.32767,23.329195,15.278558,15.252629,15.192029,15.277226,15.05919,16.690639,16.690639,28.142447,15.302513,1,0,2
11.223457,11.599549,10.92156,11.380069,5.873067,11.36908,11.36908,11.082768,11.050479,12.242851,11.011096,11.929964,9.859785,12.277509,11.339524,12.236838,12.31514,12.399449,20.646245,22.717928,20.979751,21.008527,24.679133,21.114629,21.114629,23.29377,23.296693,15.281207,15.251336,15.194871,15.279644,15.611314,15.303297,15.303297,15.378116,15.299303,1,0,2
11.220072,11.638448,10.893499,11.329348,5.830768,11.312306,11.312306,11.088326,10.990382,12.277416,10.959518,12.003775,9.851365,12.357986,11.334137,12.274288,12.327668,12.364492,20.635491,22.668734,20.961465,20.968487,24.682804,21.064631,21.064631,23.262317,23.266939,15.28393,15.250173,15.197701,15.281989,15.057605,15.306347,15.306347,15.375855,15.296263,1,0,2
11.216684,11.639306,10.868577,11.274222,5.847343,11.246355,11.246355,11.057122,10.93806,12.306201,10.899393,12.098752,9.849979,12.449304,11.329157,12.311091,12.336181,12.329239,20.625768,22.6203,20.947403,20.929532,24.686826,21.012615,21.012615,23.232671,23.239049,15.286725,15.249178,17.003852,15.284242,15.056746,15.309281,15.309281,15.373817,15.293468,1,0,2
11.213005,11.606943,10.846342,11.223144,5.871441,11.180262,11.180262,11.010855,10.893197,12.329487,10.831238,12.223301,9.855775,12.555823,11.324568,12.345155,12.340606,12.292894,20.616911,22.571352,20.937401,20.897309,24.691213,20.964711,20.964711,23.204531,23.212523,15.289593,15.248371,17.904296,15.286404,15.055841,15.312103,15.312103,15.372032,15.70244,1,0,2
11.208766,11.547734,10.825731,11.18814,5.898697,11.134952,11.134952,10.94986,10.851388,12.347354,10.756171,12.301466,9.866625,12.71126,11.320342,12.383798,12.341278,12.255017,20.608764,22.520727,20.930873,20.880301,24.695976,20.936023,20.936023,23.177864,23.187195,15.292526,15.247746,15.206059,15.288479,15.79468,15.314818,15.314818,15.370495,15.288741,1,0,2
11.203717,11.472925,10.805391,11.176576,5.926463,11.129415,11.129415,10.887278,10.814021,12.359869,10.675457,12.283972,9.87571,12.768643,11.316424,12.437498,12.338632,12.215499,20.60119,22.467153,20.927028,20.882416,24.701125,20.937635,20.937635,23.152656,23.162989,15.295514,15.247296,15.208799,15.290471,15.162537,15.317431,15.317431,15.369198,15.286823,1,0,2
11.197614,11.382895,10.783959,11.181945,5.952939,11.146259,11.146259,10.818461,10.776544,12.366704,10.590143,12.298525,9.871218,12.524166,11.312742,12.495974,12.33305,12.17434,20.594064,22.409745,20.925075,20.89782,24.706668,20.958168,20.958168,23.128872,23.139865,22.075581,16.002795,15.21151,15.292381,15.052859,15.319942,15.319942,15.368135,15.285209,1,0,2
11.190219,11.291115,10.760254,11.191156,5.977085,11.164121,11.164121,10.747567,10.738638,12.367618,10.501021,12.339634,9.84668,12.341048,11.309193,12.470391,12.324797,12.131486,20.587281,22.351968,20.924351,20.91827,24.712613,20.98259,20.98259,23.106461,23.117816,15.301607,17.088907,15.214184,15.294205,15.051777,15.322349,15.322349,15.367298,15.2839,1,0,2
11.181429,11.203517,10.733449,11.197991,5.998441,11.174674,11.174674,10.684595,10.700309,12.362978,10.408641,12.343665,9.806646,12.205805,11.305616,12.334596,12.314011,12.086762,20.580762,22.313456,20.924373,20.939058,24.718967,21.004923,21.004923,23.085336,23.096824,15.30469,17.503452,15.216818,15.295946,15.153601,15.324655,15.324655,15.36668,15.282895,1,0,2
11.171736,11.120581,10.703046,11.200675,6.016928,11.176557,11.176557,10.630413,10.800923,12.353238,10.313274,12.219165,9.755782,12.096678,11.301818,12.19104,12.300712,12.039889,20.574453,22.308745,20.924819,20.958482,24.725735,21.024088,21.024088,23.065377,23.07684,15.307786,16.711182,15.21941,15.297606,15.049482,15.326861,15.326861,15.366274,15.282194,1,0,2
11.161151,11.037136,10.668895,11.199616,6.032717,11.170445,11.170445,10.582293,10.819708,12.339084,10.215113,12.05137,9.695499,12.003351,11.297618,12.067007,12.284829,11.990507,20.568317,22.314634,20.92549,20.976195,24.732922,21.040407,21.040407,23.046437,23.05777,15.310883,15.565058,15.221953,15.299182,15.048267,15.328966,15.328966,15.36607,15.281788,1,0,2
11.149119,10.955958,10.631463,11.196347,6.046157,11.157543,11.157543,10.530661,10.571683,12.320494,10.11429,11.899001,9.627376,11.920402,11.29288,11.95971,12.266239,11.938192,20.562337,22.317622,20.926275,20.992331,24.740532,21.05446,21.05446,23.028357,23.039474,15.31397,16.081484,15.224442,15.300671,15.047005,15.330967,15.330967,15.36606,15.28167,1,0,2
11.135697,10.936432,10.59235,11.193162,6.057702,11.139379,11.139379,10.473813,10.524292,12.296805,10.011027,11.764944,9.554312,11.844601,11.2875,11.864507,12.244806,11.882496,20.556512,22.316398,20.927126,21.007168,24.748568,21.066793,21.066793,23.010976,23.021779,15.915638,15.248233,15.22687,15.302072,15.045693,15.332862,15.332862,15.366233,15.281828,1,0,2
11.121018,10.90671,10.555207,11.192835,6.067758,11.118161,11.118161,10.432188,10.530616,12.26748,9.905698,11.644818,9.479234,11.774043,11.281392,11.778187,12.220389,11.823001,20.550856,22.311885,20.92804,21.02099,24.757034,21.077858,21.077858,22.994144,23.004503,17.040474,15.248834,15.229233,15.303382,15.044329,15.33465,15.33465,15.366581,15.282251,1,0,2
11.105241,10.874151,10.52692,11.197934,6.07649,11.097632,11.097632,10.398094,10.522513,12.231717,9.798928,11.53508,9.404329,11.70733,11.274473,11.698423,12.19284,11.759383,20.545392,22.305012,20.929033,21.034047,24.765937,21.088008,21.088008,22.977728,22.987478,15.447222,15.249528,15.231526,15.304597,16.715726,15.336326,15.336326,15.367098,15.282926,1,0,2
11.088575,10.844355,10.517053,11.209908,6.083824,11.08389,11.08389,10.358134,10.512949,12.188947,9.691596,11.433362,9.330951,11.643547,11.2666,11.623683,12.161972,11.691482,20.540143,22.29647,20.930128,21.046543,24.775281,21.097513,21.097513,22.961616,22.97056,15.326016,15.250306,15.23374,15.305713,15.04144,15.337887,15.337887,15.367777,15.283843,1,0,2
11.071295,10.82008,10.531611,11.228724,6.08963,11.082611,11.082611,10.315604,10.519137,12.139156,9.585072,11.338287,9.259666,11.582057,11.257346,11.552918,12.127566,11.619328,20.53513,22.286754,20.931349,21.058646,24.785072,21.106586,21.106586,22.945719,22.953642,16.786885,15.251165,15.235866,15.306723,15.039912,15.339325,15.339325,15.368613,15.284989,1,0,2
11.053714,10.80015,10.566633,11.253462,6.093856,11.093401,11.093401,10.289254,10.618502,12.083676,9.48119,11.249337,9.190774,11.522629,11.245986,11.4856,12.08936,11.543055,20.53038,22.276219,20.932727,21.070495,24.795316,21.115395,21.115395,22.929968,22.936645,16.960797,15.252099,15.237896,15.307619,15.038324,15.340636,15.340636,15.369601,15.286351,1,0,2
11.036145,10.782759,10.612677,11.28325,6.096549,11.112209,11.112209,10.4084,10.748336,12.02433,9.381836,11.165978,9.124479,11.46504,11.231566,11.421283,12.047002,11.462858,20.525926,22.265127,20.934302,21.082214,24.806022,21.124088,21.124088,22.914311,22.919524,15.334384,15.253106,15.239822,15.308396,15.036675,15.341812,15.341812,15.370735,20.065522,1,0,2
11.018881,10.761405,10.662292,11.317744,6.097822,11.13821,11.13821,10.537143,10.888035,11.962467,9.288266,11.087504,9.060791,11.408922,11.212616,11.359458,12.000138,11.379077,20.521805,22.253675,20.936117,21.09391,24.817196,21.132787,21.132787,22.898711,22.902258,15.336974,15.254183,15.241635,15.309047,15.034963,15.342848,15.342848,15.372012,15.289675,1,0,2
11.002176,10.736636,10.711532,11.356679,6.097824,11.176141,11.176141,10.678395,11.040863,11.898297,9.200937,11.012934,9.002531,11.353664,11.186482,11.299442,11.948542,11.292275,20.518058,22.242018,20.938213,21.105672,24.828846,21.141594,21.141594,22.883146,22.884843,15.339444,15.255327,15.243328,15.309564,15.033187,15.343738,15.343738,15.373428,15.291613,1,0,2
10.986216,10.709404,10.758672,11.398984,6.096723,11.227353,11.227353,10.834368,11.20506,11.833318,9.120827,10.941922,8.993503,11.299255,11.147794,11.241054,11.892187,11.203185,20.514717,22.230275,20.940626,21.117578,24.840983,21.150591,21.150591,22.867602,22.867292,15.341781,15.256537,15.244893,15.309942,15.031344,15.344475,15.344475,15.37498,15.29372,1,0,2
10.971093,10.676928,10.803062,11.44281,6.094692,11.283751,11.283751,11.005129,11.382073,11.769422,9.053054,10.874231,8.986654,11.245887,11.088885,11.200467,11.831326,11.112617,20.511821,22.218542,20.943393,21.129694,24.853614,21.159854,21.159854,22.852071,22.849627,15.343973,15.257814,15.246321,15.310171,15.029433,15.345054,15.345054,15.376663,15.295985,1,0,2
10.956805,10.64078,10.844547,11.486319,6.147067,11.338422,11.338422,11.189747,11.560003,11.707388,9.006986,10.810463,8.981811,11.193581,11.083303,11.193991,11.766443,11.021319,20.509401,22.20689,20.946547,21.142079,24.866749,21.169446,21.169446,22.836553,22.831874,15.346008,15.259155,15.247605,15.310246,16.390698,15.345468,15.345468,15.378476,15.298397,1,0,2
10.94325,10.6012,10.883168,11.528239,6.278071,11.388992,11.388992,11.384204,11.734691,11.64742,8.985617,10.805964,8.97877,11.150887,11.14955,11.18888,11.698117,10.929836,20.507489,22.195377,20.950121,21.154788,24.880398,21.179421,21.179421,22.821052,22.814065,15.347875,15.260563,15.248737,15.31016,15.025397,15.345711,15.345711,15.380414,15.300948,1,0,2
10.930232,10.557376,10.919038,11.567861,6.343042,11.435096,11.435096,11.579115,11.902153,11.589498,8.980319,10.803741,8.977397,11.147581,11.196931,11.185093,11.626943,10.838432,20.506118,22.184044,20.954148,21.167871,24.894576,21.189832,21.189832,22.805576,22.796234,15.349563,15.262036,15.24971,15.309904,15.023267,15.345777,15.345777,15.382476,19.600349,1,0,2
10.917552,10.51041,10.95227,11.604892,6.326952,11.476974,11.476974,11.756128,12.060812,11.534259,8.981553,10.803929,8.977752,11.145959,11.233767,11.182872,11.553478,10.747115,20.505317,22.172925,20.958657,21.181372,24.909295,21.200724,21.200724,22.790135,22.778414,15.351061,15.263577,15.250517,15.309471,15.032881,15.345659,15.345659,15.38466,15.306433,1,0,2
10.904994,10.460265,10.982993,11.63926,6.324221,11.514988,11.514988,11.884858,12.208399,11.530891,8.984486,10.806861,8.979872,11.146611,11.270917,11.182741,11.478215,10.655747,20.505113,22.162047,20.963678,21.195335,24.924563,21.21214,21.21214,22.774741,22.760637,15.35236,15.265186,15.251151,15.308854,15.051448,15.345351,15.345351,15.386964,15.309353,1,0,2
10.892345,10.489876,11.011326,11.671002,6.400944,11.549488,11.549488,11.952077,12.345892,11.530893,8.987213,10.812622,8.983488,11.149451,11.31696,11.184852,11.401537,10.564115,20.505532,22.15143,20.969239,21.209801,24.940383,21.22412,21.22412,22.759409,22.74294,15.353452,15.266862,15.251604,15.308045,15.070926,15.344845,15.344845,15.389385,15.312382,1,0,2
10.879461,10.604411,11.037364,11.703701,6.476926,11.58077,11.58077,11.981347,12.479188,11.534167,8.98893,10.82083,8.988126,11.153894,11.374763,11.188713,11.323606,10.471919,20.506596,22.14109,20.975365,21.224812,24.956757,21.236702,21.236702,22.744157,22.725354,17.144142,15.268607,15.251872,15.307037,15.091247,15.344136,15.344136,15.391922,15.315515,1,0,2
10.866245,10.709272,11.06119,11.733947,6.548388,11.609087,11.609087,11.998489,12.615776,11.540688,8.989232,10.831004,8.993366,11.159634,11.441291,11.1939,11.24452,10.378876,20.508328,22.131041,20.982083,21.240408,24.973689,21.249924,21.249924,22.729,22.707909,15.354983,15.270423,15.251947,15.305821,15.11235,15.343217,15.343217,15.394572,15.318748,1,0,2
10.852635,10.78894,11.082881,11.761572,6.614105,11.634635,11.634635,12.014052,12.765983,11.550667,8.987878,10.842954,8.998899,11.166657,11.513153,11.200333,11.164332,10.284714,20.510742,22.121294,20.989416,21.256623,24.991188,21.263815,21.263815,22.713966,22.690643,15.35541,15.272307,15.251825,21.680366,15.134184,18.044946,18.044946,15.397332,15.322072,1,0,2
10.838637,10.823729,11.102517,11.786664,6.676474,11.657569,11.657569,12.029683,12.943923,11.56376,8.984541,10.856499,9.004533,11.174972,11.593868,11.207981,11.082949,10.189101,20.513852,22.111866,20.997377,21.273482,25.009264,21.278397,21.278397,22.699093,22.673604,15.355605,15.274257,15.537663,16.645102,15.156693,16.894563,16.894563,15.400189,15.325474,1,0,2
